INDEXSORT,YearIndex,Year,FemCode,MatCode,FDNA,FemID,MatID,DamFemCode,DamID,JuvID,Site,YearFirstCap,DOB,Age,Lifespan,IDNotes,DeathYear,FemNotes,Northing,Easting,FemRS,CapDate,CapMass,FirstBirth,DayBirth,FemSVLAft,FemTotAft,FemTailBreak,FemMassAft,Clutch,Cmass,RelCMass,MeanCmass,MeanCSVL,MeanCTot,SexRatio,Nmale,Nstillborn,Csuccess,OffID,JuvBDate,JuvDBirth,OffCode,OffDNA,OffMass,OffSVL,OffTot,OffTL,OffSex,SexAcc,OffRelDate,OffRS,OffNotes,CatchSept,SVLSept,TotSept,TBSept,MassSept,CopsL,CopsR,CopsTot,FolL,FolR,FolTot,NorthSept,EastSept
1,7,2000,0124,0124,,1,1,,,,OR,2000,,,,,,,,,,,,23/12/2000,13,62,115,18,4.3713,2,0.9614,0.219934573,0.4807,29.86,69.61,0.5,1,0,1,1,23/12/2000,13,3001,,0.4905,29.5,69.07,39.57,1,99,,8,,,,,,,,,,,,,,
2,7,2000,,0124,,,1,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23/12/2000,13,3003,,0.4709,30.22,70.15,39.93,0,95,,8,,,,,,,,,,,,,,
3,7,2000,3113,3113,,2,2,,,,OR,2000,,,,,,(3)113,,,,,,24/12/2000,14,60,126,35,3.6991,2,1.0567,0.28566408,0.5284,29.47,69,0,0,0,1,3,24/12/2000,14,3002,,0.5085,29.75,68.95,39.2,0,95,,8,,,,,,,,,,,,,,
4,7,2000,,3113,,,2,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24/12/2000,14,3004,,0.5482,29.19,69.05,39.86,0,95,,8,,,,,,,,,,,,,,
5,7,2000,0033,0033,,3,3,,,,OR,2000,,,,,,,,,,,,26/12/2000,16,62,137,60,4.397,2,1.1585,0.263475097,0.5793,30.115,71.75,0,0,0,1,5,26/12/2000,16,3001/5,,0.5748,30.13,71.22,41.09,0,70,,8,,,,,,,,,,,,,,
6,7,2000,,0033,,,3,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26/12/2000,16,3010,,0.5837,30.1,72.28,42.18,0,99,,8,,,,,,,,,,,,,,
7,7,2000,1320,1320,,4,4,,,,OR,2000,,,,,,,,,,,,26/12/2000,16,63,121,25,4.5022,2,1.1324,0.251521478,0.5662,30.465,72.645,1,2,0,1,7,26/12/2000,16,3011,,0.5368,30,72.1,42.1,1,95,,8,,,,,,,,,,,,,,
8,7,2000,,1320,,,4,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,26/12/2000,16,3012,,0.5956,30.93,73.19,42.26,1,99,,8,,,,,,,,,,,,,,
9,7,2000,0121,0121,,5,5,,,,OR,2000,,,,,,,,,,,,28/12/2000,18,62,149,0,4.1905,2,0.921,0.219782842,0.4605,27.96,65.515,0.5,1,0,1,9,28/12/2000,18,3014,,0.4713,28.24,65.6,37.36,1,99,,8,,,,,,,,,,,,,,
10,7,2000,,0121,,,5,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28/12/2000,18,3013,,0.4497,27.68,65.43,37.75,0,95,,8,,,,,,,,,,,,,,
11,7,2000,0025,0025,,6,6,,,,OR,2000,,,,,,,,,,,,29/12/2000,19,62,139,68,5.275,2,1.0968,0.207924171,0.5484,30.175,71.605,0,0,0,1,11,29/12/2000,19,3022,,0.5448,30.52,71.66,41.14,0,90,,8,,,,,,,,,,,,,,
12,7,2000,,0025,,,6,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29/12/2000,19,3023,,0.552,29.83,71.55,41.72,0,90,,8,,,,,,,,,,,,,,
13,7,2000,0155,0155,,7,7,,,,OR,2000,,,,,,01(5)5,,,,,,29/12/2000,19,60,138,0,4.0371,3,1.2257,0.303609026,0.4086,27.84666667,64.25333333,0.333333333,1,0,1,13,29/12/2000,19,3015,,0.4285,28.53,65.54,37.01,0,90,,8,,,,,,,,,,,,,,
14,7,2000,,0155,,,7,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,29/12/2000,19,3020,,0.3976,27.5,62.95,35.45,0,90,,8,,,,,,,,,,,,,,
15,7,2000,,0155,,,7,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,29/12/2000,19,3021,,0.3996,27.51,64.27,36.76,1,99,,8,,,,,,,,,,,,,,
16,7,2000,0035,0035,,8,8,,,,OR,2000,,,,,2000,deceased,,,,,,31/12/2000,21,62,119,50,5.1037,2,0.5621,0.110135784,0.5621,29.61,,1,1,1,0.5,16,31/12/2000,21,3024,,0.5621,29.61,,,1,99,,8,,,,,,,,,,,,,,
17,7,2000,,0035,,,8,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2000,21,XXXX,,,,,,,,,,,,,,,,,,,,,,,
18,7,2000,0054,0054,,9,9,,,,OR,2000,,,,,,,,,,,,31/12/2000,21,59,135,0,3.9035,2,0.8597,0.220238248,0.4299,27.71,62.43,0.5,1,0,1,17,31/12/2000,21,3032,,0.3912,27.62,61.08,33.46,0,90,,8,,,,,,,,,,,,,,
19,7,2000,,0054,,,9,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,31/12/2000,21,3033,,0.4685,27.8,63.78,35.98,1,99,,8,,,,,,,,,,,,,,
