FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,CP,0.01,23.97
,,CP,0.01,24.96
,,OR,0.01,25.5
,,OR,0.01,25.56
,,CP,0.01,25.76
,,CP,0.01,25.89
,,CP,0.01,25.93
,,CP,0.01,25.95
,,OR,0.01,26.13
,,CP,0.01,26.13
,,OR,0.01,26.33
,,CP,0.01,26.35
,,OR,0.01,26.54
,,CP,0.01,26.59
,,CP,0.01,26.7
,,CP,0.01,26.86
,,OR,0.01,26.87
,,CP,0.01,27.04
,,OR,0.01,27.1
,,CP,0.01,27.12
,,OR,0.01,27.17
,,OR,0.01,27.23
,,OR,0.01,27.26
,,OR,0.01,27.27
,,OR,0.01,27.28
,,OR,0.01,27.31
,,OR,0.01,27.34
,,OR,0.01,27.36
,,CP,0.01,27.38
,,CP,0.01,27.38
,,CP,0.01,27.4
,,CP,0.01,27.42
,,CP,0.01,27.44
,,CP,0.01,27.45
,,CP,0.01,27.45
,,OR,0.01,27.5
,,CP,0.01,27.51
,,CP,0.01,27.52
,,OR,0.01,27.54
,,OR,0.01,27.58
,,OR,0.01,27.62
,,CP,0.01,27.63
,,OR,0.01,27.64
,,OR,0.01,27.64
,,OR,0.01,27.66
,,CP,0.01,27.67
,,OR,0.01,27.68
,,OR,0.01,27.68
,,CP,0.01,27.69
,,OR,0.01,27.72
,,OR,0.01,27.72
,,OR,0.01,27.73
,,OR,0.01,27.73
,,OR,0.01,27.74
,,OR,0.01,27.75
,,OR,0.01,27.75
,,OR,0.01,27.75
,,OR,0.01,27.76
,,OR,0.01,27.76
,,CP,0.01,27.76
,,OR,0.01,27.77
,,OR,0.01,27.8
,,OR,0.01,27.8
,,CP,0.01,27.82
,,CP,0.01,27.82
,,OR,0.01,27.83
,,OR,0.01,27.83
,,CP,0.01,27.83
,,OR,0.01,27.84
,,OR,0.01,27.84
,,OR,0.01,27.84
,,CP,0.01,27.84
,,CP,0.01,27.85
,,OR,0.01,27.87
,,CP,0.01,27.88
,,OR,0.01,27.9
,,OR,0.01,27.9
,,OR,0.01,27.9
,,OR,0.01,27.9
,,CP,0.01,27.9
,,OR,0.01,27.91
,,OR,0.01,27.91
,,OR,0.01,27.92
,,OR,0.01,27.93
,,CP,0.01,27.93
,,OR,0.01,27.94
,,OR,0.01,27.95
,,OR,0.01,27.96
,,OR,0.01,27.97
,,CP,0.01,27.98
,,OR,0.01,27.99
,,CP,0.01,28
,,OR,0.01,28.01
,,CP,0.01,28.02
,,CP,0.01,28.02
,,OR,0.01,28.03
,,OR,0.01,28.03
,,OR,0.01,28.03
,,CP,0.01,28.03
,,OR,0.01,28.04
,,OR,0.01,28.04
,,OR,0.01,28.05
,,OR,0.01,28.05
,,OR,0.01,28.06
,,OR,0.01,28.06
,,OR,0.01,28.06
,,OR,0.01,28.06
,,OR,0.01,28.07
,,OR,0.01,28.07
,,OR,0.01,28.08
,,OR,0.01,28.08
,,OR,0.01,28.09
,,CP,0.01,28.09
,,OR,0.01,28.1
,,CP,0.01,28.1
,,CP,0.01,28.1
,,OR,0.01,28.11
,,CP,0.01,28.14
,,CP,0.01,28.14
,,OR,0.01,28.15
,,CP,0.01,28.15
,,OR,0.01,28.16
,,OR,0.01,28.16
,,OR,0.01,28.17
,,OR,0.01,28.18
,,CP,0.01,28.18
,,OR,0.01,28.19
,,OR,0.01,28.19
,,OR,0.01,28.19
,,CP,0.01,28.19
,,OR,0.01,28.2
,,OR,0.01,28.2
,,OR,0.01,28.2
,,OR,0.01,28.2
,,OR,0.01,28.2
,,CP,0.01,28.2
,,OR,0.01,28.21
,,OR,0.01,28.21
,,OR,0.01,28.21
,,CP,0.01,28.21
,,OR,0.01,28.22
,,OR,0.01,28.22
,,CP,0.01,28.22
,,CP,0.01,28.22
,,CP,0.01,28.23
,,CP,0.01,28.23
,,CP,0.01,28.23
,,OR,0.01,28.24
,,OR,0.01,28.24
,,OR,0.01,28.24
,,OR,0.01,28.24
,,OR,0.01,28.25
,,OR,0.01,28.25
,,OR,0.01,28.25
,,CP,0.01,28.25
,,CP,0.01,28.25
